text,label
এই সিনেমাটি অসাধারণ ছিল!,1
আমি প্রতিটি মুহূর্ত উপভোগ করেছি।,1
অভিনয় চমৎকার ছিল।,1
কি সুন্দর অভিজ্ঞতা!,1
এই বছরের সেরা সিনেমা।,1
সত্যিই অনুপ্রেরণামূলক।,1
গল্পটি হৃদয় ছুঁয়ে গেল।,1
অভিনেতাদের অসাধারণ পারফরম্যান্স।,1
সবাইকে দেখার সুপারিশ করছি।,1
আধুনিক সিনেমার মাস্টারপিস।,1
এটা একদম বাজে ছিল।,0
সময় নষ্ট করলাম।,0
দুর্বল অভিনয় এবং গল্প।,0
সম্পূর্ণ হতাশাজনক।,0
সবচেয়ে খারাপ সিনেমা।,0
টাকা নষ্ট করবেন না।,0
গল্পের কোন অর্থ নেই।,0
বাজে পরিচালনা।,0
দেখে অনুতাপ হচ্ছে।,0
শুরু থেকে শেষ পর্যন্ত বিপর্যয়।,0
সিনেমাটোগ্রাফি অসাধারণ ছিল।,1
চমৎকার সাউন্ডট্র্যাক।,1
পুরো সময় হাসলাম ও কাঁদলাম।,1
ট্রিলজির নিখুঁত সমাপ্তি।,1
আমার প্রত্যাশা ছাড়িয়ে গেছে।,1
বিরক্তিকর এবং অনুমানযোগ্য গল্প।,0
চরিত্রগুলো পছন্দ হয়নি।,0
অনেক লম্বা এবং ক্লান্তিকর।,0
হতাশাজনক সিক্যুয়েল।,0
হাইপের যোগ্য নয়।,0
অবিশ্বাস্য স্পেশাল ইফেক্টস।,1
হৃদয়গ্রাহী পারিবারিক সিনেমা।,1
উজ্জ্বল স্ক্রিপ্ট এবং সংলাপ।,1
অসাধারণ প্রধান অভিনয়।,1
একটি সত্যিকারের রত্ন।,1
মোটামুটি মানের সিনেমা।,0
কোন আবেগ দিতে ব্যর্থ।,0
জেনেরিক এবং ভুলে যাওয়ার মতো।,0
অভিনেতারা উদাসীন মনে হয়েছে।,0
এটা এড়িয়ে যান।,0
আবার দেখব অবশ্যই।,1
গভীরভাবে ভাবতে বাধ্য করেছে।,1
সুন্দরভাবে তৈরি দৃশ্য।,1
আবেগপূর্ণ এবং শক্তিশালী গল্প।,1
নিখুঁত কাস্টিং।,1
নিস্তেজ এবং অনাকর্ষণীয়।,0
লিডদের মধ্যে কেমিস্ট্রি নেই।,0
ধীর গতি সারাক্ষণ।,0
বাজে লেখা স্ক্রিপ্ট।,0
প্রতিভার সম্পূর্ণ অপচয়।,0
