text,label
This movie is absolutely fantastic!,1
I loved every moment of it.,1
The acting was brilliant and engaging.,1
What a wonderful experience.,1
Best film I've seen this year.,1
Truly inspiring and beautiful.,1
The story touched my heart.,1
Amazing performances by the cast.,1
Highly recommended to everyone.,1
A masterpiece of modern cinema.,1
This was terrible and boring.,0
I wasted my time watching this.,0
Poor acting and weak plot.,0
Absolutely disappointing experience.,0
Worst movie I've ever seen.,0
Do not waste your money.,0
The story made no sense at all.,0
Terrible direction and editing.,0
I regret watching this film.,0
A complete disaster from start to end.,0
The cinematography was stunning.,1
Great soundtrack and visuals.,1
I laughed and cried throughout.,1
Perfect ending to the trilogy.,1
Exceeded all my expectations.,1
Boring and predictable story.,0
The characters were unlikable.,0
Too long and dragged on.,0
Disappointing sequel overall.,0
Not worth the hype at all.,0
Incredible special effects.,1
Heartwarming family movie.,1
Brilliant screenplay and dialogue.,1
Outstanding lead performance.,1
A true cinematic gem.,1
Mediocre at best honestly.,0
Failed to deliver any emotion.,0
Generic and forgettable plot.,0
Actors seemed disinterested throughout.,0
Skip this one definitely.,0
I will watch this again.,1
Made me think deeply.,1
Beautifully crafted scenes.,1
Emotional and powerful story.,1
Perfect casting choices.,1
Dull and uninteresting movie.,0
No chemistry between leads.,0
Slow pacing throughout.,0
Poorly written script.,0
Complete waste of talent.,0
